PlanningLocation,minimumDwell,stationCode,locationName,subdivision,MonitoringLocation,LocationGroup,
ABCWM  ,+02 ,   ,Abercwmboi                ,408,78128,Wales and Western     ,
ABDARE ,+02 ,ABA,Aberdare                  ,408,78100,Wales and Western     ,
ABDO   ,+02 ,AUR,Aberdour                  ,702,03295,Scotland's Railway    ,
ABDVY  ,+02 ,AVY,Aberdovey                 ,410,64409,Wales and Western     ,
ABER   ,+02 ,ABE,Aber                      ,408,78371,Wales and Western     ,
ABGLELE,+02 ,AGL,Abergele & Pensarn        ,431,40073,Wales and Western     ,
ABHLJN ,+02 ,   ,Abbeyhill Jn              ,702,04309,Scotland's Railway    ,
ABHLTB ,+02 ,   ,Abbeyhill Turnback Sdgs   ,702,04308,Scotland's Railway    ,
ABINCE ,+02 ,   ,Abington C.E.             ,708,07947,Scotland's Railway    ,
ABINDPL,+02 ,   ,Abington D.P.L.           ,708,07971,Scotland's Railway    ,
ABINDS ,+02 ,   ,Abington Down Siding      ,708,07948,Scotland's Railway    ,
ABINGTN,+02 ,   ,Abington                  ,708,07972,Scotland's Railway    ,
ABINUPL,+02 ,   ,Abington U.P.L.           ,708,07970,Scotland's Railway    ,
ABRBEG ,+02 ,   ,Aberbeeg                  ,403,76639,Wales and Western     ,
ABRC187,+02 ,   ,Abercynon Signal A187     ,408,78203,Wales and Western     ,
ABRCJN ,+00H,   ,Abercynon Junction        ,408,78205,Wales and Western     ,
ABRCYNS,+02 ,ACY,Abercynon                 ,408,78204,Wales and Western     ,
ABRD27 ,+02 ,   ,Aberdeen Sig A27          ,712,02080,Scotland's Railway    ,
ABRD75 ,+02 ,   ,Aberdeen Sig A75          ,712,02078,Scotland's Railway    ,
ABRD77 ,+02 ,   ,Aberdeen Sig A77          ,712,02079,Scotland's Railway    ,
ABRDCH ,+02 ,XAC,Aberdeen Clayhills Car.M.D,712,02075,Scotland's Railway    ,
ABRDEEN,+02 ,ABD,Aberdeen                  ,712,02071,Scotland's Railway    ,
ABRDFDS,+02 ,   ,Aberdeen Ferryhill Dn Sdgs,712,02083,Scotland's Railway    ,
ABRDFGL,+02 ,   ,Aberdeen Ferryhill G.L.   ,712,02084,Scotland's Railway    ,
ABRDFJN,+02 ,   ,Aberdeen Ferryhill Jn     ,712,02082,Scotland's Railway    ,
